invoice_id,supplier,amount_usd,issue_date,due_date,payment_terms,status,description
INV-2024-001,Acme Corp,12500.00,2024-01-15,2024-02-14,Net 30,Paid,Software licenses Q1 2024
INV-2024-002,TechSupply Ltd,4750.50,2024-01-20,2024-02-19,Net 30,Outstanding,Server hardware components
INV-2024-003,GlobalLogistics Inc,8900.00,2024-02-01,2024-03-02,Net 30,Outstanding,Freight and shipping services
INV-2024-004,Acme Corp,3200.00,2024-02-10,2024-03-11,Net 30,Paid,Consulting services Feb 2024
INV-2024-005,DataVault Systems,21000.00,2024-03-01,2024-03-31,Net 30,Outstanding,Annual data storage contract
INV-2024-006,TechSupply Ltd,6100.00,2024-03-15,2024-04-14,Net 30,Paid,Networking equipment
INV-2024-007,PrimeVendor Co,15750.00,2024-04-01,2024-05-01,Net 30,Outstanding,Marketing campaign materials
INV-2024-008,Acme Corp,9400.00,2024-04-10,2024-05-10,Net 30,Outstanding,Software licenses Q2 2024
INV-2024-009,GlobalLogistics Inc,3300.00,2024-10-01,2024-10-31,Net 30,Paid,Q4 freight services
INV-2024-010,DataVault Systems,21000.00,2024-10-15,2024-11-14,Net 30,Outstanding,Annual renewal Q4 2025
